Sample_ID,Location,Region,Capture_date,collect_method,Escap_yr,Outmig_yr,collection_julian_day,capture_fork_length_juvs_mm,mean_exog,time_bin_use,NATLOC_new,WYlabel,life_stage,Phenotype,WYT,Natal_Exit_um,FWDist_um,Natal_exit_FL_mm,FW_exit_FL_mm
AR15-1791,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,540.9048,540.9048,83.72638917,83.72638917
AR15-1802,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,499.3999,499.3999,76.85068743,76.85068743
AR15-1805,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,494.1575,542.6312,75.98223145,84.01238459
AR15-1814,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,483.5017,553.9705,74.21699162,85.89085303
AR15-1815,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,439.6173,464.406,66.94710192,71.05359796
AR15-1816,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,350.897,373.3762,52.24969702,55.97360129
AR15-1817,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,578.6309,578.6309,89.97609489,89.97609489
AR15-1819,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,384.2523,408.9601,57.77533602,61.86843017
AR15-1820,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,537.4864,537.4864,83.16009702,83.16009702
AR15-1821,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,507.4611,538.8242,78.18610583,83.38171697
AR15-1822,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,559.2591,559.2591,86.76696251,86.76696251
AR15-1825,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,445.8026,485.8354,67.97175872,74.60359236
AR15-1830,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,551.885,551.885,85.5453691,85.5453691
AR15-1832,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,461.0698,505.089,70.50092307,77.79314374
AR15-1838,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,352.1493,393.9172,52.45715304,59.37642335
AR15-1849,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,413.8493,464.2229,62.67837504,71.02326561
AR15-1851,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,533.0087,590.9337,82.41832124,92.01417674
AR15-1852,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,492.1983,492.1983,75.65767038,75.65767038
AR15-1855,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,547.1957,576.1627,84.76853966,89.56721288
AR15-1856,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,394.4037,449.8663,59.45701694,68.64495126
AR15-1857,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,570.5453,570.5453,88.6366344,88.6366344
AR15-1863,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,574.5257,574.5257,89.29602746,89.29602746
AR15-1867,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,527.5972,527.5972,81.52185215,81.52185215
AR15-1882,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,241.4757,458.042,36.22101191,69.99933772
AR15-1896,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,522.6563,522.6563,80.70334266,80.70334266
AR15-19,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,552.7167,559.9588,85.68314852,86.88287481
AR15-1908,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,548.1364,548.1364,84.92437602,84.92437602
AR15-1910,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,373.4016,457.0994,55.97780906,69.8431866
AR15-1911,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,358.0538,461.8171,53.43529251,70.62472079
AR15-1912,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,522.6343,522.6343,80.69969814,80.69969814
AR15-1913,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,396.9232,425.8567,59.87439731,64.66752092
AR15-1919,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,401.5516,429.5885,60.64113806,65.28573091
AR15-1920,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,406.1579,445.5648,61.40421771,67.93236477
AR15-1923,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,614.9385,614.9385,95.99081191,95.99081191
AR15-1924,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,240.1697,473.2133,36.19324765,72.51261528
AR15-1926,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,604.0124,604.0124,94.18079418,94.18079418
AR15-1931,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,376.1568,419.0375,56.43423549,63.53785225
AR15-1932,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,235.5432,501.5436,36.09489289,77.20581278
AR15-1934,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,420.2785,420.2785,63.74343631,63.74343631
AR15-1935,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,536.9549,536.9549,83.07204873,83.07204873
AR15-1936,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,478.3216,521.1062,73.35885626,80.44655309
AR15-1940,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,236.8214,414.8124,36.12206614,62.83792218
AR15-1941,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,436.3159,501.9928,66.40019199,77.28022725
AR15-1942,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,568.6379,604.0395,88.32065451,94.18528357
AR15-1955,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,466.0956,512.8694,71.3334971,79.0820448
AR15-1960,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,559.6726,559.6726,86.83546292,86.83546292
AR15-1965,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,655.9217,655.9217,102.7800888,102.7800888
AR15-1966,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,525.8731,525.8731,81.23623775,81.23623775
AR15-1974,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,472.6033,509.0831,72.41156268,78.45480635
AR15-1985,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,220.9085,487.0605,35.7837738,74.80654243
AR15-1992,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,429.979,475.6209,65.35042114,72.91145829
AR15-1993,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,570.8333,570.8333,88.68434448,88.68434448
AR15-1995,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,405.5363,437.2216,61.30124346,66.55023026
AR15-1997,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,536.8912,536.8912,83.06149619,83.06149619
AR15-2049,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,515.4499,515.4499,79.50953043,79.50953043
AR15-214,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Early,Drought,220.3367,532.434,35.77161791,82.32311644
AR15-22,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,430.9732,464.7501,65.51512031,71.11060157
AR15-221,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,561.786,561.786,87.18556876,87.18556876
AR15-223,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,436.2309,487.4985,66.38611089,74.87910151
AR15-228,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,544.5046,544.5046,84.32273204,84.32273204
AR15-231,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,495.4704,495.4704,76.19972646,76.19972646
AR15-24,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,150,433.2231,34.27633,65.88783875
AR15-248,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,490.3492,490.3492,75.35134847,75.35134847
AR15-250,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,531.6834,548.8188,82.19877204,85.03742241
AR15-268,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,441.4861,487.2498,67.25668733,74.83790187
AR15-269,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,466.359,499.0106,71.37713194,76.786196
